plot_id,sex,record_id,month,day,year,species_id,hindfoot_length,weight
1,F,848,848,848,848,848,808,826
1,M,1095,1095,1095,1095,1095,1047,1072
2,F,970,970,970,970,970,918,954
2,M,1144,1144,1144,1144,1144,1077,1114
3,F,893,893,893,893,893,863,873
3,M,840,840,840,840,840,812,827
4,F,872,872,872,872,872,835,850
4,M,1030,1030,1030,1030,1030,980,1010
5,F,527,527,527,527,527,499,516
5,M,586,586,586,586,586,557,573
6,F,737,737,737,737,737,696,721
6,M,764,764,764,764,764,719,739
7,F,335,335,335,335,335,313,326
7,M,307,307,307,307,307,300,303
8,F,840,840,840,840,840,805,817
8,M,983,983,983,983,983,944,962
9,F,853,853,853,853,853,801,823
9,M,1004,1004,1004,1004,1004,956,984
10,F,141,141,141,141,141,134,138
10,M,142,142,142,142,142,134,139
11,F,822,822,822,822,822,785,796
11,M,1029,1029,1029,1029,1029,987,994
12,F,1060,1060,1060,1060,1060,1005,1040
12,M,1200,1200,1200,1200,1200,1141,1174
13,F,628,628,628,628,628,592,610
13,M,783,783,783,783,783,725,757
14,F,709,709,709,709,709,676,692
14,M,1070,1070,1070,1070,1070,1021,1029
15,F,481,481,481,481,481,459,467
15,M,409,409,409,409,409,386,401
16,F,222,222,222,222,222,207,211
16,M,273,273,273,273,273,262,265
17,F,892,892,892,892,892,847,874
17,M,1053,1053,1053,1053,1053,1006,1011
18,F,755,755,755,755,755,704,740
18,M,626,626,626,626,626,586,607
19,F,522,522,522,522,522,504,514
19,M,581,581,581,581,581,558,567
20,F,650,650,650,650,650,607,631
20,M,613,613,613,613,613,568,588
21,F,611,611,611,611,611,592,596
21,M,451,451,451,451,451,433,431
22,F,671,671,671,671,671,637,646
22,M,673,673,673,673,673,631,648
23,F,165,165,165,165,165,154,163
23,M,207,207,207,207,207,200,205
24,F,486,486,486,486,486,453,479
24,M,485,485,485,485,485,446,479
