,,record_id,record_id,record_id,record_id,record_id,record_id,record_id,record_id,month,month,month,month,month,month,month,month,day,day,day,day,day,day,day,day,year,year,year,year,year,year,year,year,hindfoot_length,hindfoot_length,hindfoot_length,hindfoot_length,hindfoot_length,hindfoot_length,hindfoot_length,hindfoot_length,weight,weight,weight,weight,weight,weight,weight,weight
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
plot_id,sex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,F,848.0,18390.384433962263,10469.790851560152,9.0,8783.5,19182.5,27691.75,35393.0,848.0,6.597877358490566,3.366246123281714,1.0,4.0,7.0,10.0,12.0,848.0,15.338443396226415,8.325992837137509,1.0,9.0,15.0,22.0,31.0,848.0,1990.933962264151,7.678171107409242,1977.0,1983.0,1991.0,1998.0,2002.0,808.0,31.73391089108911,8.89493895903657,14.0,22.0,34.0,36.0,64.0,826.0,46.31113801452784,33.24095753152196,5.0,26.0,40.0,50.0,196.0
1,M,1095.0,17197.740639269407,9911.57059503063,6.0,8638.0,17043.0,25251.5,35390.0,1095.0,6.121461187214612,3.4187949251884078,1.0,3.0,6.0,9.0,12.0,1095.0,15.90593607305936,8.053256884595935,1.0,9.0,16.0,23.0,31.0,1095.0,1990.0913242009133,7.265207688733218,1977.0,1983.0,1990.0,1997.0,2002.0,1047.0,34.30276981852913,8.979955476023436,12.0,32.0,36.0,37.0,57.0,1072.0,55.95055970149254,41.035685998449935,4.0,37.0,46.0,54.0,231.0
2,F,970.0,17714.75360824742,10300.01507609146,3.0,9580.25,18104.5,26586.5,35405.0,970.0,6.4268041237113405,3.5376936935720176,1.0,3.0,6.0,10.0,12.0,970.0,16.288659793814432,8.046509236649895,1.0,10.0,16.0,23.0,31.0,970.0,1990.4494845360825,7.519909915794153,1977.0,1984.0,1990.0,1997.0,2002.0,918.0,30.161220043572985,8.677936740840385,14.0,21.0,33.0,36.0,57.0,954.0,52.56184486373166,45.54769707076525,5.0,25.0,40.0,51.0,274.0
2,M,1144.0,18085.45804195804,10555.331260433542,1.0,8653.0,19024.5,27553.5,35408.0,1144.0,6.340034965034965,3.6234299280130764,1.0,3.0,6.0,10.0,12.0,1144.0,15.44055944055944,8.414666509146723,1.0,9.0,15.0,23.0,31.0,1144.0,1990.756118881119,7.714444143345536,1977.0,1983.0,1991.0,1998.0,2002.0,1077.0,30.35376044568245,9.016312007765213,13.0,21.0,33.0,36.0,58.0,1114.0,51.39138240574506,46.69088728349396,5.0,24.0,42.0,50.0,278.0
3,F,893.0,19888.783874580065,9352.010883692774,17.0,12963.0,20051.0,27989.0,35495.0,893.0,6.604703247480403,3.307055280149513,1.0,4.0,7.0,9.0,12.0,893.0,16.16125419932811,7.96170623285142,1.0,9.0,16.0,23.0,31.0,893.0,1992.013437849944,6.811510860910154,1977.0,1987.0,1992.0,1998.0,2002.0,863.0,23.77404403244496,6.565124281282565,11.0,20.0,22.0,26.0,54.0,873.0,31.215349369988544,30.687450635593258,4.0,15.0,23.0,34.0,199.0
3,M,840.0,20226.76785714286,9680.405280903364,2.0,13184.25,20904.5,28734.75,35494.0,840.0,6.271428571428571,3.3290204233974374,1.0,3.0,6.0,9.0,12.0,840.0,16.45,7.916120153438231,1.0,10.0,16.0,23.0,31.0,840.0,1992.275,7.04044801302277,1977.0,1987.0,1993.0,1998.0,2002.0,812.0,23.83374384236453,6.899003253541679,9.0,20.0,22.0,27.0,52.0,827.0,34.163240628778716,40.26042587535303,5.0,13.0,23.0,39.0,250.0
4,F,872.0,17489.205275229357,10314.25288727045,16.0,8733.0,17441.5,26327.5,35500.0,872.0,6.442660550458716,3.2734420010853302,1.0,4.0,6.0,9.0,12.0,872.0,15.746559633027523,8.217828737605748,1.0,9.0,16.0,22.0,31.0,872.0,1990.2350917431193,7.535359143386393,1977.0,1983.0,1990.0,1997.0,2002.0,835.0,33.24910179640719,10.12240355590599,12.0,24.0,36.0,37.0,54.0,850.0,46.818823529411766,33.560663545307456,5.0,28.0,40.0,47.0,200.0
4,M,1030.0,18493.841747572817,9808.465995300036,195.0,10845.0,18666.5,26902.75,35502.0,1030.0,6.430097087378641,3.4481395936405375,1.0,3.0,6.0,10.0,12.0,1030.0,16.507766990291262,8.25783709767027,1.0,9.0,16.0,23.0,31.0,1030.0,1991.0009708737864,7.14890893488694,1977.0,1985.0,1991.0,1997.0,2002.0,980.0,34.09795918367347,9.1154548867294,11.0,32.0,36.0,37.0,55.0,1010.0,48.888118811881185,32.25416833605045,4.0,32.0,44.5,50.0,187.0
5,F,527.0,12280.793168880455,8296.352658278434,11.0,5445.5,10916.0,17848.0,35384.0,527.0,6.142314990512334,3.5089040394953854,1.0,3.0,6.0,9.0,12.0,527.0,15.722960151802656,8.46571616321997,1.0,9.0,16.0,23.0,31.0,527.0,1986.4857685009488,6.160965565490384,1977.0,1982.0,1985.0,1990.0,2002.0,499.0,28.92184368737475,9.399217251846277,9.0,20.0,34.0,36.0,54.0,516.0,40.974806201550386,36.396966492625204,5.0,21.0,35.0,45.0,248.0
5,M,586.0,12798.42662116041,8457.974265698715,98.0,5994.75,11203.0,18479.75,35383.0,586.0,6.194539249146757,3.556100458522854,1.0,3.0,6.0,9.0,12.0,586.0,15.703071672354948,8.227776020347669,1.0,9.0,16.0,22.0,31.0,586.0,1986.8174061433447,6.230811564121137,1977.0,1982.0,1985.0,1991.0,2002.0,557.0,29.69479353680431,10.00648305149283,12.0,20.0,34.0,37.0,54.0,573.0,40.70855148342059,31.250967204549198,6.0,21.0,40.0,49.0,240.0
